title,slug,kind,canonical_id,reality_tier,literalness,provider_targets,priority,labels,description
Nature (skill),nature,skill,skill-nature,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Nature
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Understand organic, emergent, and ecosystem-scale systems that were not designed.

## Current Interpretation

In D&D, Nature is knowledge of terrain, weather, plants, animals, and the natural world. The real-world version is understanding systems that emerged rather than were designed: markets, social networks, organizational cultures, open-source ecosystems, user behavior patterns, and any complex adaptive system where the whole is more than the sum of the parts.

## Default Invocation

Use $nature to analyze this [market/community/ecosystem/pattern] as an emergent system. Map the agents, feedback loops, and what can be influenced vs. what must be adapted to.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Perception (skill),perception,skill,skill-perception,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Perception
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Notice what is actually there, especially the details everyone else missed.

## Current Interpretation

In D&D, Perception is the raw ability to notice things: the hidden door, the faint sound, the detail that does not belong. Unlike Investigation (which follows evidence methodically) or Insight (which reads subtext), Perception is about the initial act of noticing. The real-world version is detail-catching: spotting the typo in the contract, the anomaly in the dashboard, the one metric that moved when it should not have, the thing that is present but no one is looking at.

## Default Invocation

Use $perception to scan this [document/dashboard/codebase/design] with fresh eyes. What details are being overlooked? What does not belong?

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Performance (skill),performance,skill,skill-performance,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Performance
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Stage technical substance so an audience can see why it matters.

## Current Interpretation

Use this skill to turn dry technical material into a polished demo, narrative walkthrough, or audience-aware presentation without dumbing it down. It focuses on pacing, reveal order, and memorable framing so the work lands in the room.

## Default Invocation

Use $performance to turn this technical material into a polished presentation that will land with the intended audience.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Persuasion (skill),persuasion,skill,skill-persuasion,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Persuasion
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Craft clear, credible language that moves a person or team toward a decision.

## Current Interpretation

Use this skill when the problem is not information scarcity but alignment, framing, or buy-in.

## Default Invocation

Use $persuasion to draft the strongest credible case for this proposal for the intended audience.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Religion (skill),religion,skill,skill-religion,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Religion
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Understand belief systems, values, and cultural logic that drive group behavior.

## Current Interpretation

In D&D, Religion is knowledge of deities, rites, prayers, and holy symbols. The real-world version is understanding belief systems: organizational cultures, team values, community norms, ideological frameworks, and the unstated axioms that a group treats as sacred. Religion explains why people in a group behave the way they do when the behavior does not follow from rational incentives alone.

## Default Invocation

Use $religion to map the belief system, values, and cultural logic of this [team/organization/community]. What are the sacred cows and unwritten rules?

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Sleight of Hand (skill),sleight-of-hand,skill,skill-sleight-of-hand,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Sleight of Hand
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Make the tiny exact change that fixes the problem without disturbing the room.

## Current Interpretation

Use this skill for surgical edits: a one-line patch, a targeted regex, a delicate config tweak, or a precise text substitution with low blast radius. The emphasis is finesse under magnification, where touching one wrong character can create a new incident.

## Default Invocation

Use $sleight-of-hand to make the smallest safe edit here and show me exactly what moved.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Stealth (skill),stealth,skill,skill-stealth,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Stealth
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Move through a system with low visibility, minimal disruption, and a small footprint.

## Current Interpretation

Use this skill when the goal is to gather context or make progress quietly without unnecessary noise.

## Default Invocation

Use $stealth to gather the context we need with the smallest safe footprint and no unnecessary noise.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Survival (skill),survival,skill,skill-survival,shipping-now,metaphorical,openai|claude|openclaw,2,ai|docs|automation,"## Spellbook Entry

- Kind: skill
- Canonical source: Survival
- Canonical source URL: https://www.dndbeyond.com/sources/dnd/free-rules/playing-the-game
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Keep the mission alive when the map is wrong and supplies are running out.

## Current Interpretation

Use this skill when infrastructure is degraded, tools are missing, quotas are tight, or normal comforts are gone. It prioritizes minimal viable progress, conservation of scarce resources, and practical fallback routes through hostile conditions.

## Default Invocation

Use $survival to keep this work moving under degraded conditions and show me the minimum viable route.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Animal Friendship (spell),animal-friendship,spell,spell-animal-friendship,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Animal Friendship
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Approach a strange service gently until it stops biting.

## Current Interpretation

Animal Friendship is the first-contact spell for unfamiliar APIs, vendors, and services. It treats integration work as relationship-building: learn the temperament, respect the boundaries, and earn a stable exchange before asking for anything ambitious. The goal is not domination but trustable cooperation.

## Default Invocation

Use $animal-friendship to help me establish a safe first working relationship with this unfamiliar API or service.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Animal Messenger (spell),animal-messenger,spell,spell-animal-messenger,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Animal Messenger
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Release the packet and trust the trail, not the clock.

## Current Interpretation

Animal Messenger is for delivery paths that are asynchronous, delayed, or a little scruffy. It fits webhook queues, batch email, pub/sub topics, and other channels where you launch the payload and trust the route more than the timing. The real craft is designing for eventual arrival without panic.

## Default Invocation

Use $animal-messenger to package this message for an async delivery path and tell me how to make it reliable enough.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Animate Objects (spell),animate-objects,spell,spell-animate-objects,prototype,literal,openai|claude,4,ai|type:feature|architecture|security,"## Spellbook Entry

- Kind: spell
- Canonical source: Animate Objects
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: literal
- Provider targets: openai, claude

## Tagline

Give agency to passive data by attaching triggers, watchers, and autonomous update logic.

## Current Interpretation

Use this spell when a static file, dataset, or configuration should become a living artifact that reacts to changes, heals itself, or updates autonomously.

## Default Invocation

Use $animate-objects to make this artifact self-updating, with clear agency boundaries and a kill switch.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Awaken (spell),awaken,spell,spell-awaken,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Awaken
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Teach an old machine to answer back.

## Current Interpretation

Awaken gives a non-intelligent system a usable voice without pretending the underlying system became sentient. The real move is to wrap a thermostat, spreadsheet, legacy database, shell script, or crusty internal tool in a conversational or agent-like interface that exposes what it can already do. Good Awaken work turns buried affordances into accessible ones. Bad Awaken work hallucinates capabilities the substrate does not have. The spell is strongest when the wrapper is honest about its limits and preserves the original system's safety boundaries.

## Default Invocation

Use $awaken to design a conversational or intelligent wrapper around this dumb system without pretending the underlying machine became smarter than it is.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Bane (spell),bane,spell,spell-bane,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Bane
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Surface every weakness in a plan, system, or argument.

## Current Interpretation

Bane curses targets, making them worse at everything they try. The real-world version is systematic weakness analysis: finding every crack, bad assumption, and failure mode in a plan, architecture, or argument. Unlike Vicious Mockery (which delivers the critique sharply), Bane is comprehensive and methodical — it maps the full attack surface.

## Default Invocation

Use $bane to find every weakness in this [plan/system/argument]. Give me a ranked vulnerability map.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Bestow Curse (spell),bestow-curse,spell,spell-bestow-curse,prototype,metaphorical,openai|claude,4,ai|type:feature|architecture,"## Spellbook Entry

- Kind: spell
- Canonical source: Bestow Curse
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: metaphorical
- Provider targets: openai, claude

## Tagline

Add persistent constraints or friction to test how a system copes.

## Current Interpretation

Bestow Curse saddles a target with a lasting disadvantage. The real-world version is constraint injection: deliberately adding friction, limitations, or handicaps to see how a system, process, or team adapts. This is the skill of resilience testing through artificial adversity — bandwidth throttling, feature removal, resource reduction.

## Default Invocation

Use $bestow-curse to design a constraint injection test for this [system/process]. What happens when we deliberately degrade it?

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Blindness/Deafness (spell),blindness-deafness,spell,spell-blindness-deafness,shipping-now,literal,openai|claude,3,ai|type:feature|security,"## Spellbook Entry

- Kind: spell
- Canonical source: Blindness/Deafness
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: literal
- Provider targets: openai, claude

## Tagline

Cut a system's eyes or ears — let it run, but blind to specific inputs or deaf to specific signals.

## Current Interpretation

In D&D, Blindness/Deafness selectively removes one sense — the target can still act but loses critical awareness. The real-world version is selective channel muting: blocking a process from seeing certain inputs (input filtering, API response redaction), deafening it to specific signals (suppressing webhooks, ignoring certain event streams), or cutting telemetry so a system operates without awareness of a specific data source. Unlike containment (forcecage) which restricts everything, Blindness/Deafness surgically removes one information channel while leaving the rest intact.

## Default Invocation

Use $blindness-deafness to selectively blind or deafen this system to one input, signal, or telemetry source while keeping the rest of it running safely.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Calm Emotions (spell),calm-emotions,spell,spell-calm-emotions,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Calm Emotions
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

De-escalate tension and restore productive conditions in a heated situation.

## Current Interpretation

Calm Emotions suppresses strong feelings, ending fear and charm effects. The real-world version is de-escalation: drafting responses that lower the temperature in a heated thread, designing cool-down protocols for conflict situations, or reframing inflammatory language into productive terms. This is the spell for when the conversation has gone off the rails and someone needs to be the adult.

## Default Invocation

Use $calm-emotions to de-escalate this [thread/conversation/situation]. Draft a response that lowers the temperature without dismissing the concern.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Charm Person (spell),charm-person,spell,spell-charm-person,shipping-now,hybrid,openai|claude,3,ai|type:feature,"## Spellbook Entry

- Kind: spell
- Canonical source: Charm Person
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: hybrid
- Provider targets: openai, claude

## Tagline

Draft warm, trust-building communication that navigates social dynamics with ethical care.

## Current Interpretation

Use this spell when you need to build rapport, deliver difficult news compassionately, write a persuasive but honest introduction, or navigate a sensitive interpersonal situation.

## Default Invocation

Use $charm-person to draft this message with warmth and care, and flag anything that crosses from persuasion into manipulation.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Clairvoyance (spell),clairvoyance,spell,spell-clairvoyance,shipping-now,hybrid,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Clairvoyance
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: hybrid
- Provider targets: openai, claude, openclaw

## Tagline

Get a snapshot of a remote system or environment you cannot directly access.

## Current Interpretation

In D&D, Clairvoyance lets you place an invisible sensor in a location you know, seeing or hearing through it. Unlike Scrying (which follows a specific target in real time), Clairvoyance is a point-in-time snapshot of a place. The real-world version is remote system inspection: checking the state of a production environment you cannot SSH into, reading the public-facing state of a competitor's deployment, or gathering the current observable state of a system through its exposed interfaces without modifying it.

## Default Invocation

Use $clairvoyance to get a snapshot of this [system/service/environment]. What can we observe right now through legitimate interfaces?

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Comprehend Languages (spell),comprehend-languages,spell,spell-comprehend-languages,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Comprehend Languages
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Translate code, jargon, protocol surfaces, or human language into operational meaning.

## Current Interpretation

Use this skill when the words are legible but the meaning is trapped inside an unfamiliar dialect, format, or community.

## Default Invocation

Use $comprehend-languages to translate this code, jargon, or protocol into clear operational English.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Compulsion (spell),compulsion,spell,spell-compulsion,prototype,hybrid,openai|claude,4,ai|type:feature|architecture,"## Spellbook Entry

- Kind: spell
- Canonical source: Compulsion
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: prototype
- Literalness: hybrid
- Provider targets: openai, claude

## Tagline

Force a process to take a specific action regardless of its current state or preferences.

## Current Interpretation

Compulsion forces creatures to move in a direction chosen by the caster. The real-world analog is forced state transitions: mandatory migrations, involuntary process restarts, or overriding a system's own decision logic. This is distinct from orchestration (which coordinates willing participants) because compulsion acts against or without regard for the target's current state.

## Default Invocation

Use $compulsion to evaluate whether this forced [migration/transition/action] is justified or if orchestration would achieve the same goal.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Confusion (spell),confusion,spell,spell-confusion,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Confusion
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Generate controlled chaos to stress-test a system's resilience.

## Current Interpretation

Confusion makes targets act randomly and unpredictably. The real-world version is chaos engineering: injecting controlled randomness, unexpected inputs, and edge cases to discover how systems behave when things go wrong. This is fuzzing, monkey testing, and the art of breaking things on purpose so they do not break by accident.

## Default Invocation

Use $confusion to generate a chaos test suite for this [system/API/workflow]. Give me the edge cases that will break it.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Cure Wounds (spell),cure-wounds,spell,spell-cure-wounds,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Cure Wounds
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Apply a targeted fix to stop the bleeding on an active problem.

## Current Interpretation

In D&D, Cure Wounds heals damage through touch — direct, immediate, hands-on. The real-world version is the hotfix: diagnosing the immediate problem and applying the minimum viable fix to restore function. Not a redesign, not a refactor, not a root-cause analysis — just stop the bleeding right now.

## Default Invocation

Use $cure-wounds to diagnose and fix this [broken build/failing service/production issue] with the minimum change needed to restore function.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
Dancing Lights (spell),dancing-lights,spell,spell-dancing-lights,shipping-now,metaphorical,openai|claude|openclaw,2,ai|type:feature|automation,"## Spellbook Entry

- Kind: spell
- Canonical source: Dancing Lights
- Canonical source URL: https://www.dndbeyond.com/sources/basic-rules/spells
- Reality tier: shipping-now
- Literalness: metaphorical
- Provider targets: openai, claude, openclaw

## Tagline

Hang small moving signals in the dark so people can tell what the system is doing.

## Current Interpretation

Use this spell for lightweight indicators: status pips, progress markers, heartbeat widgets, and ambient observability that help humans orient quickly. It is not a full dashboard strategy; it is the small visual cue that says where to look next.

## Default Invocation

Use $dancing-lights to design a small status display for this workflow and make the signal states unambiguous.

## Initial Done When

- The blueprint is reviewed for naming, tier, and provider targets
- The provider-specific skill output renders cleanly
- Any safety concerns are called out explicitly"
